id,category,source,n_candidates,answer,base_pred,cpt_pred,base_correct,cpt_correct,base_free_pred,cpt_free_pred,base_free_correct,cpt_free_correct,outcome
0,defined_term,legislations,24,تدعو,تدعو,تدعو,1,1,يراه,تدعو,0,1,both correct
1,statute_term,related_provisions,4,المرسوم,المرسوم,المرسوم,1,1,قانون,قانون,0,0,both correct
2,statute_term,gazette_legal_core,4,القرار,المرسوم,القرار,0,1,بتاريخ,القرار,0,1,CPT gained
3,defined_term,bibliographic_rulings,24,العامة,العامة,العامة,1,1,العامة,العامة,1,1,both correct
4,collocation,gazette_section2_sample,20,وشهرته,المرسوم,وشهرته,0,1,اسم,وشهرته,0,1,CPT gained
5,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,مرسوم,مرسوم,0,0,both correct
6,defined_term,adl_rulings,24,لبنانية,لبنانية,لبنانية,1,1,لبنانية,لبنانية,1,1,both correct
7,collocation,gazette_legal_core,20,اقتراح,المرسوم,اقتراح,0,1,الإستدعاء,اقتراح,0,1,CPT gained
8,collocation,legislations,20,تدعو,الحاجة,تدعو,0,1,ما,تدعو,0,1,CPT gained
9,defined_term,gazette_section2_sample,24,رقم,رقم,رقم,1,1,رقم,رقم,1,1,both correct
10,defined_term,bibliographic_rulings,24,الاشتراعي,رقم,الاشتراعي,0,1,رقم,الاشتراعي,0,1,CPT gained
11,defined_term,related_provisions,24,الاشتراعي,رقم,الاشتراعي,0,1,رقم,الاشتراعي,0,1,CPT gained
12,collocation,gazette_legal_core,20,اقتراح,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
13,defined_term,related_provisions,24,التمييز,التمييز,التمييز,1,1,النقض,التمييز,0,1,both correct
14,defined_term,related_provisions,24,رقم,رقم,رقم,1,1,رقم,,1,0,both correct
15,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
16,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,ما,المرسوم,0,1,both correct
17,defined_term,related_provisions,24,رقم,التمييز,رقم,0,1,الصادر,,0,0,CPT gained
18,collocation,gazette_section2_sample,20,وشهرته,المرسوم,وشهرته,0,1,إسم,وشهرته,0,1,CPT gained
19,statute_term,related_provisions,4,القانون,المرسوم,المرسوم,0,0,قانون,قانون,0,0,both wrong
20,defined_term,gazette_legal_core,24,حيث,الحاجة,حيث,0,1,رئيس,حيث,0,1,CPT gained
21,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,القانون,المرسوم,0,1,both correct
22,defined_term,bibliographic_rulings,24,والبلديات,والبلديات,والبلديات,1,1,طلب,الاعتراض,0,0,both correct
23,collocation,gazette_legal_core,20,اقتراح,المرسوم,اقتراح,0,1,طلب,اقتراح,0,1,CPT gained
24,statute_term,gazette_legal_core,4,التعميم,المرسوم,التعميم,0,1,المرسوم,التعميم,0,1,CPT gained
25,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,المرسوم,القانون,0,0,both wrong
26,defined_term,related_provisions,24,التمييز,التمييز,التمييز,1,1,الاستئناف,التمييز,0,1,both correct
27,collocation,legislations,20,وزير,المرسوم,وزير,0,1,رئيس,وزير,0,1,CPT gained
28,defined_term,gazette_legal_core,24,الثانية,الثانية,الثانية,1,1,الثانية,الثانية,1,1,both correct
29,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,المادة,القانون,0,0,both correct
