id,category,source,n_candidates,answer,base_pred,cpt_pred,base_correct,cpt_correct,base_free_pred,cpt_free_pred,base_free_correct,cpt_free_correct,outcome
12,collocation,gazette_legal_core,20,اقتراح,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
15,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
19,statute_term,related_provisions,4,القانون,المرسوم,المرسوم,0,0,قانون,قانون,0,0,both wrong
25,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,المرسوم,القانون,0,0,both wrong
35,statute_term,gazette_legal_core,4,المرسوم,المرسوم,التعميم,1,0,مرسوم,مرسوم,0,0,CPT regressed
45,defined_term,legislations,24,هذا,القرار,ويبلغ,0,0,القرار,هذا,0,1,both wrong
46,defined_term,adl_rulings,24,رقم,رقم,الاشتراعي,1,0,رقم,رقم,1,1,CPT regressed
68,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,قانون,قانون,0,0,both wrong
80,statute_term,legislations,4,القانون,المرسوم,المرسوم,0,0,مرسوم,مرسوم,0,0,both wrong
81,defined_term,legislations,24,القرار,القانون,القانون,0,0,القانون,القانون,0,0,both wrong
90,statute_term,gazette_section2_sample,4,القانون,المرسوم,المرسوم,0,0,المادة,القانون,0,1,both wrong
93,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,زيادة,حيث,0,0,both wrong
104,defined_term,bibliographic_rulings,24,القانون,التمييز,الاشتراعي,0,0,البينة,البينة,0,0,both wrong
113,statute_term,legislations,4,المرسوم,المرسوم,التعميم,1,0,وزارة,مرسوم,0,0,CPT regressed
114,statute_term,gazette_section2_sample,4,القانون,المرسوم,المرسوم,0,0,المادة,القانون,0,1,both wrong
116,collocation,adl_rulings,20,المدنية,والبلديات,حيث,0,0,كان,حيث,0,0,both wrong
130,statute_term,bibliographic_rulings,4,القانون,المرسوم,المرسوم,0,0,قانون,قانون,0,0,both wrong
133,statute_term,gazette_legal_core,4,القانون,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
147,statute_term,legislations,4,القرار,المرسوم,التعميم,0,0,مرسوم,كتاب,0,0,both wrong
150,collocation,gazette_section2_sample,20,المرسوم,المرسوم,اقتراح,1,0,طلب,اقتراح,0,0,CPT regressed
155,statute_term,gazette_legal_core,4,القرار,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
166,statute_term,gazette_legal_core,4,القرار,المرسوم,المرسوم,0,0,المرسوم,القرار,0,1,both wrong
170,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,المادة,القانون,0,0,both wrong
184,statute_term,gazette_legal_core,4,القرار,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
187,defined_term,legislations,24,رقم,رقم,الاشتراعي,1,0,رقم,ل,1,0,CPT regressed
193,statute_term,legislations,4,القانون,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
197,statute_term,gazette_legal_core,4,القرار,المرسوم,المرسوم,0,0,المرسوم,الاستدعاء,0,0,both wrong
205,statute_term,gazette_legal_core,4,المرسوم,المرسوم,التعميم,1,0,مرسوم,مرسوم,0,0,CPT regressed
216,defined_term,gazette_section2_sample,24,الأولى,اللبنانية,الاشتراعي,0,0,من,من,0,0,both wrong
220,statute_term,gazette_legal_core,4,المرسوم,المرسوم,التعميم,1,0,وزارة,مرسوم,0,0,CPT regressed
222,defined_term,adl_rulings,24,رقم,رقم,الاشتراعي,1,0,رقم,رقم,1,1,CPT regressed
238,statute_term,adl_rulings,4,القانون,القانون,المرسوم,1,0,قانون,المرسوم,0,0,CPT regressed
239,statute_term,gazette_legal_core,4,المرسوم,المرسوم,التعميم,1,0,مرسوم,مرسوم,0,0,CPT regressed
242,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
243,statute_term,legislations,4,المرسوم,المرسوم,التعميم,1,0,وزارة,مرسوم,0,0,CPT regressed
248,statute_term,adl_rulings,4,القرار,المرسوم,المرسوم,0,0,قانون,قانون,0,0,both wrong
249,statute_term,legislations,4,المرسوم,المرسوم,التعميم,1,0,مرسوم,مرسوم,0,0,CPT regressed
253,statute_term,gazette_section2_sample,4,القانون,المرسوم,المرسوم,0,0,المادة,القانون,0,1,both wrong
260,statute_term,gazette_section2_sample,4,القانون,المرسوم,المرسوم,0,0,تتقدم,تقديم,0,0,both wrong
268,statute_term,adl_rulings,4,القرار,المرسوم,المرسوم,0,0,قانون,قانون,0,0,both wrong
270,statute_term,legislations,4,القانون,المرسوم,المرسوم,0,0,المرسوم,القانون,0,1,both wrong
274,statute_term,legislations,4,القانون,المرسوم,المرسوم,0,0,زيادة,التراجع,0,0,both wrong
275,statute_term,legislations,4,المرسوم,المرسوم,التعميم,1,0,وزارة,مرسوم,0,0,CPT regressed
276,collocation,gazette_legal_core,20,القانون,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
278,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,المرسوم,الاستدعاء,0,0,both wrong
290,collocation,related_provisions,20,العدد,رقم,رقم,0,0,رقم,رقم,0,0,both wrong
296,defined_term,adl_rulings,24,الأولى,رقم,التمييز,0,0,من,,0,0,both wrong
